,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
376,04,v5,45,153,2.1901578821664507
377,04,v5,45,207,1.980512197301152
378,04,v5,45,45,2.449128597998887
379,04,v5,45,99,2.657525973001946
380,04,v5,99,153,2.0212482091693222
381,04,v5,99,207,1.7486781212370772
382,04,v5,99,45,1.482928690496774
383,04,v5,99,99,3.3235789783315455
384,05,premotor,153,153,1.506173556001456
385,05,premotor,153,207,1.547347276992486
386,05,premotor,153,45,1.7046538467524597
387,05,premotor,153,99,1.729299252741929
388,05,premotor,207,153,1.7663228284240762
389,05,premotor,207,207,1.4666900957212572
390,05,premotor,207,45,2.015415474774341
391,05,premotor,207,99,1.713430693066805
392,05,premotor,45,153,1.6380095967112434
393,05,premotor,45,207,1.5635944271997921
394,05,premotor,45,45,1.7159524121548149
395,05,premotor,45,99,1.8696986451932047
396,05,premotor,99,153,1.6204729929264838
397,05,premotor,99,207,1.5338240171418498
398,05,premotor,99,45,1.8586123726246115
399,05,premotor,99,99,1.675491821939662
400,05,motor,153,153,1.575419127977051
401,05,motor,153,207,1.8573819993123533
402,05,motor,153,45,2.5215132197806676
403,05,motor,153,99,1.9620391966373778
404,05,motor,207,153,2.202957665296347
405,05,motor,207,207,2.008807309375584
406,05,motor,207,45,2.417878493524446
407,05,motor,207,99,1.759440185408457
408,05,motor,45,153,1.8299847847276343
409,05,motor,45,207,1.9163213954463196
410,05,motor,45,45,1.7007076989368546
411,05,motor,45,99,1.8435777268776061
412,05,motor,99,153,1.6554911326396446
413,05,motor,99,207,2.0366397889596426
414,05,motor,99,45,2.5036382638935457
415,05,motor,99,99,1.8014333131951665
416,05,v1,153,153,1.1875944038652575
417,05,v1,153,207,1.3307542787334272
418,05,v1,153,45,1.4028345639439526
419,05,v1,153,99,1.252814738681265
420,05,v1,207,153,1.3042900887669893
421,05,v1,207,207,1.3263107658423943
422,05,v1,207,45,1.3390756998501956
423,05,v1,207,99,1.385945022538496
424,05,v1,45,153,1.3168246518643638
425,05,v1,45,207,1.1363035599400062
426,05,v1,45,45,1.249278758218069
427,05,v1,45,99,1.3820237213039646
428,05,v1,99,153,1.558893797137084
