,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
212,01,inf_parietal,207,2,153,-0.04136019606153793
213,01,inf_parietal,207,2,207,-0.0743360668732454
214,01,inf_parietal,207,2,45,-0.08478171702985571
215,01,inf_parietal,207,2,99,-0.06097335273671513
216,01,inf_parietal,45,0,153,-0.018231431168955804
217,01,inf_parietal,45,0,207,0.027271003934414992
218,01,inf_parietal,45,0,45,0.0823859189923555
219,01,inf_parietal,45,0,99,0.030745757137658446
220,01,inf_parietal,45,1,153,0.04090186770417813
221,01,inf_parietal,45,1,207,0.026966333734457316
222,01,inf_parietal,45,1,45,0.04413055914527825
223,01,inf_parietal,45,1,99,0.02814141020674127
224,01,inf_parietal,45,2,153,-0.0731334441422737
225,01,inf_parietal,45,2,207,-0.023276060258936446
226,01,inf_parietal,45,2,45,-0.0013568200911321417
227,01,inf_parietal,45,2,99,-0.05239220806369537
228,01,inf_parietal,99,0,153,-0.005334284947285021
229,01,inf_parietal,99,0,207,-0.0013196037973338872
230,01,inf_parietal,99,0,45,-0.023818703409047147
231,01,inf_parietal,99,0,99,-0.051141376956926235
232,01,inf_parietal,99,1,153,-0.02665227591749232
233,01,inf_parietal,99,1,207,-0.021855582210600452
234,01,inf_parietal,99,1,45,-0.012681207722013886
235,01,inf_parietal,99,1,99,-0.010711503088168678
236,01,inf_parietal,99,2,153,0.048986804979443216
237,01,inf_parietal,99,2,207,0.02507386583507784
238,01,inf_parietal,99,2,45,0.007766516764207193
239,01,inf_parietal,99,2,99,0.04410859795610458
240,01,v5,153,0,153,-0.044266716590450575
241,01,v5,153,0,207,-0.012862636416305431
242,01,v5,153,0,45,-0.03769374181628079
243,01,v5,153,0,99,-0.000550089133435433
244,01,v5,153,1,153,0.07001734292582307
245,01,v5,153,1,207,0.13987686568368363
246,01,v5,153,1,45,0.04572804365798533
247,01,v5,153,1,99,-0.00682312121813633
248,01,v5,153,2,153,-0.0012564980040322936
249,01,v5,153,2,207,-0.04001020157350642
250,01,v5,153,2,45,0.007186032997734706
251,01,v5,153,2,99,0.03119984994632931
252,01,v5,207,0,153,0.005529917092849453
253,01,v5,207,0,207,0.019152746122695775
254,01,v5,207,0,45,-0.03031720913283574
