,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
357,02,motor,207,2,207,0.004211054909450698
358,02,motor,207,2,45,-0.08461746173961798
359,02,motor,207,2,99,-0.056505199357338
360,02,motor,45,0,153,-0.0584535404620533
361,02,motor,45,0,207,-0.030165897837866124
362,02,motor,45,0,45,-0.052184518862053234
363,02,motor,45,0,99,-0.06693808019352872
364,02,motor,45,1,153,-0.0930575683558558
365,02,motor,45,1,207,-0.09593651367812474
366,02,motor,45,1,45,-0.0644566908063107
367,02,motor,45,1,99,-0.05138359788490083
368,02,motor,45,2,153,-0.07982789414443178
369,02,motor,45,2,207,-0.074426390124155
370,02,motor,45,2,45,-0.0208147876592079
371,02,motor,45,2,99,-0.07352668186255316
372,02,motor,99,0,153,0.0275500186544278
373,02,motor,99,0,207,-0.005478307050949002
374,02,motor,99,0,45,0.0017241519471856235
375,02,motor,99,0,99,-0.06984291182431378
376,02,motor,99,1,153,-0.05448907875390313
377,02,motor,99,1,207,-0.1619272056728588
378,02,motor,99,1,45,-0.16673536659355953
379,02,motor,99,1,99,-0.12402294676398762
380,02,motor,99,2,153,-0.08230648748159924
381,02,motor,99,2,207,-0.1151123416496718
382,02,motor,99,2,45,-0.07985089617708385
383,02,motor,99,2,99,-0.05775983673066076
384,02,v1,153,0,153,-0.07352514994570242
385,02,v1,153,0,207,-0.09377705182226027
386,02,v1,153,0,45,-0.11024893602225007
387,02,v1,153,0,99,-0.13655458759728645
388,02,v1,153,1,153,-0.05292875097560888
389,02,v1,153,1,207,-0.08503477502015058
390,02,v1,153,1,45,-0.0989409939590902
391,02,v1,153,1,99,-0.10004772725063785
392,02,v1,153,2,153,-0.010352209507904268
393,02,v1,153,2,207,-0.006479583727811009
394,02,v1,153,2,45,-0.03854638846888914
395,02,v1,153,2,99,-0.05640646295430011
396,02,v1,207,0,153,-0.04480709359248316
397,02,v1,207,0,207,-0.03623065199644142
398,02,v1,207,0,45,-0.043958133842509
399,02,v1,207,0,99,-0.012788167433610336
400,02,v1,207,1,153,-0.07567732405801596
401,02,v1,207,1,207,-0.04161697450340879
402,02,v1,207,1,45,-0.030096947875749673
403,02,v1,207,1,99,-0.0855644391710359
404,02,v1,207,2,153,-0.08601914127029112
405,02,v1,207,2,207,-0.06594153277378013
406,02,v1,207,2,45,-0.10628259048360841
407,02,v1,207,2,99,-0.12379864793279752
408,02,v1,45,0,153,-0.05698350053732543
409,02,v1,45,0,207,-0.06798286442741812
410,02,v1,45,0,45,-0.03602051200096792
411,02,v1,45,0,99,-0.06365508192377255
412,02,v1,45,1,153,-0.08189505685830652
413,02,v1,45,1,207,-0.0861472958976596
414,02,v1,45,1,45,-0.013311617525526653
415,02,v1,45,1,99,-0.037276500062007945
416,02,v1,45,2,153,-0.06874404114877719
417,02,v1,45,2,207,-0.05277371158972538
418,02,v1,45,2,45,-0.03928734382034717
419,02,v1,45,2,99,-0.06785139915940208
420,02,v1,99,0,153,-0.0042879869958598275
421,02,v1,99,0,207,0.026556343611284755
422,02,v1,99,0,45,0.028576339260899603
423,02,v1,99,0,99,0.0289588536366717
424,02,v1,99,1,153,0.020341308903476206
425,02,v1,99,1,207,-0.002850595471943553
426,02,v1,99,1,45,-0.06927278691174396
427,02,v1,99,1,99,0.03213087133692733
428,02,v1,99,2,153,0.006452999998064325
429,02,v1,99,2,207,-0.027971593325791293
430,02,v1,99,2,45,0.020224575847562196
431,02,v1,99,2,99,0.07785301158945211
432,02,sup_parietal,153,0,153,-0.04466244603596757
433,02,sup_parietal,153,0,207,-0.007916399041661464
434,02,sup_parietal,153,0,45,-0.030202735929313898
435,02,sup_parietal,153,0,99,-0.0018201799221554873
436,02,sup_parietal,153,1,153,-0.02886391530275965
437,02,sup_parietal,153,1,207,-0.015798486461178016
438,02,sup_parietal,153,1,45,-0.0707455723043909
439,02,sup_parietal,153,1,99,-0.02860983245700458
440,02,sup_parietal,153,2,153,-0.005278459681597564
441,02,sup_parietal,153,2,207,-0.011414480744017614
442,02,sup_parietal,153,2,45,-0.0226607553646277
443,02,sup_parietal,153,2,99,0.010978123031817144
444,02,sup_parietal,207,0,153,0.029078970033648364
445,02,sup_parietal,207,0,207,-0.030666255125594056
446,02,sup_parietal,207,0,45,-0.03629265138921624
447,02,sup_parietal,207,0,99,0.03603770203338215
448,02,sup_parietal,207,1,153,-0.01760448710792961
449,02,sup_parietal,207,1,207,-0.034054622174032545
450,02,sup_parietal,207,1,45,-0.006129222690280205
451,02,sup_parietal,207,1,99,-0.04479007841455371
452,02,sup_parietal,207,2,153,-0.0042654862614841145
453,02,sup_parietal,207,2,207,-0.026142345698833218
454,02,sup_parietal,207,2,45,-0.07869546071611153
455,02,sup_parietal,207,2,99,-0.05378826484768144
456,02,sup_parietal,45,0,153,-0.08638602875249253
457,02,sup_parietal,45,0,207,-0.015940249709623253
458,02,sup_parietal,45,0,45,-0.0629382246140145
459,02,sup_parietal,45,0,99,-0.07311971421656473
460,02,sup_parietal,45,1,153,-0.07196483130662476
461,02,sup_parietal,45,1,207,-0.010794172103073037
462,02,sup_parietal,45,1,45,0.08542635701434233
463,02,sup_parietal,45,1,99,0.005605906917821209
464,02,sup_parietal,45,2,153,-0.0838241585086083
465,02,sup_parietal,45,2,207,-0.07188866346593532
466,02,sup_parietal,45,2,45,-0.04884140854284678
467,02,sup_parietal,45,2,99,-0.10727752882848408
468,02,sup_parietal,99,0,153,-0.08597474341185793
469,02,sup_parietal,99,0,207,-0.09055192807120067
470,02,sup_parietal,99,0,45,-0.037384232160623476
471,02,sup_parietal,99,0,99,-0.08674549367543052
472,02,sup_parietal,99,1,153,-0.13768131801803318
473,02,sup_parietal,99,1,207,-0.16966080525449104
474,02,sup_parietal,99,1,45,-0.1537587476584846
475,02,sup_parietal,99,1,99,-0.14109281744173602
476,02,sup_parietal,99,2,153,-0.030311151721232527
477,02,sup_parietal,99,2,207,-0.03685039304334019
478,02,sup_parietal,99,2,45,0.022817348623214835
479,02,sup_parietal,99,2,99,-0.009110436617871176
480,02,inf_parietal,153,0,153,-0.003932876515673709
481,02,inf_parietal,153,0,207,-0.05390494133573919
482,02,inf_parietal,153,0,45,0.011065855761460481
483,02,inf_parietal,153,0,99,-0.05067179700957622
484,02,inf_parietal,153,1,153,-0.04087526549193855
485,02,inf_parietal,153,1,207,0.03415019478246237
486,02,inf_parietal,153,1,45,-0.009194769818739679
487,02,inf_parietal,153,1,99,-0.11388659196716776
488,02,inf_parietal,153,2,153,0.044717543623865985
489,02,inf_parietal,153,2,207,0.07854849816743206
490,02,inf_parietal,153,2,45,0.05686919213149394
491,02,inf_parietal,153,2,99,0.05413141267769481
492,02,inf_parietal,207,0,153,-0.13522742900040952
493,02,inf_parietal,207,0,207,-0.1624552086587535
494,02,inf_parietal,207,0,45,-0.10369044948728812
495,02,inf_parietal,207,0,99,-0.10731928714267037
496,02,inf_parietal,207,1,153,-0.13794401934503936
497,02,inf_parietal,207,1,207,-0.06632452588599956
498,02,inf_parietal,207,1,45,-0.045510151290879236
499,02,inf_parietal,207,1,99,-0.1100102563069438
500,02,inf_parietal,207,2,153,-0.020825088153960402
501,02,inf_parietal,207,2,207,0.05598804799545807
502,02,inf_parietal,207,2,45,-0.06842460716322482
503,02,inf_parietal,207,2,99,-0.042625606315793006
504,02,inf_parietal,45,0,153,-0.023634891644018493
505,02,inf_parietal,45,0,207,-0.025051669287268583
506,02,inf_parietal,45,0,45,-0.058272865030210425
507,02,inf_parietal,45,0,99,-0.027106534449647866
508,02,inf_parietal,45,1,153,-0.021625240392282207
509,02,inf_parietal,45,1,207,-0.04906957743472912
510,02,inf_parietal,45,1,45,0.005680530982519361
511,02,inf_parietal,45,1,99,0.008019654710137537
512,02,inf_parietal,45,2,153,-0.08892243264304477
513,02,inf_parietal,45,2,207,-0.07640060932838064
514,02,inf_parietal,45,2,45,-0.09269026888483643
515,02,inf_parietal,45,2,99,-0.12598947499109445
516,02,inf_parietal,99,0,153,0.006484161489120482
517,02,inf_parietal,99,0,207,0.10615342769529888
518,02,inf_parietal,99,0,45,0.07581111309544192
519,02,inf_parietal,99,0,99,0.01860541845346964
520,02,inf_parietal,99,1,153,-0.02863424833694175
521,02,inf_parietal,99,1,207,-0.10312185447899719
522,02,inf_parietal,99,1,45,-0.15893878495426544
523,02,inf_parietal,99,1,99,0.010571566511780421
524,02,inf_parietal,99,2,153,-0.04216760134907753
525,02,inf_parietal,99,2,207,-0.08675638158354755
526,02,inf_parietal,99,2,45,0.01040519859872815
527,02,inf_parietal,99,2,99,0.026702816789319093
528,02,v5,153,0,153,0.022741177557562282
529,02,v5,153,0,207,-0.10247611203690397
530,02,v5,153,0,45,-0.04282493419913152
531,02,v5,153,0,99,-0.11435384325312202
532,02,v5,153,1,153,-0.013669664488658126
533,02,v5,153,1,207,-0.05267865145475319
534,02,v5,153,1,45,-0.12463461272935332
535,02,v5,153,1,99,-0.02774918978224497
536,02,v5,153,2,153,0.05400660140571804
537,02,v5,153,2,207,0.03577414775002365
538,02,v5,153,2,45,-0.07488858835609337
539,02,v5,153,2,99,-0.007050502636528511
540,02,v5,207,0,153,-0.07374711860655124
541,02,v5,207,0,207,-0.03844437118001955
542,02,v5,207,0,45,-0.08253951535465853
543,02,v5,207,0,99,-0.08208999190372256
544,02,v5,207,1,153,-0.15885650123497758
545,02,v5,207,1,207,-0.03677909601344523
546,02,v5,207,1,45,-0.05394573771183705
547,02,v5,207,1,99,-0.13815600004894601
548,02,v5,207,2,153,-0.053754055924444114
549,02,v5,207,2,207,0.02326704677279917
550,02,v5,207,2,45,-0.07359964376117532
551,02,v5,207,2,99,-0.12214375413814556
552,02,v5,45,0,153,-0.08735028626404606
553,02,v5,45,0,207,-0.09367905911231425
554,02,v5,45,0,45,-0.04704258222917169
555,02,v5,45,0,99,-0.09983529277488275
556,02,v5,45,1,153,-0.14071455829840637
557,02,v5,45,1,207,-0.13962654488091508
558,02,v5,45,1,45,0.060850336270439655
559,02,v5,45,1,99,-0.08688105788998812
560,02,v5,45,2,153,-0.18410323197238804
561,02,v5,45,2,207,-0.1562524851143614
562,02,v5,45,2,45,-0.05121513978497532
563,02,v5,45,2,99,-0.13699128669686372
