,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
496,02,motor,99,153,0,209.54643327698494
497,02,motor,99,153,1,19.021509795046974
498,02,motor,99,153,2,8.838698290687427
499,02,motor,99,153,3,0.03864917393818493
500,02,motor,99,207,0,203.68188753404456
501,02,motor,99,207,1,13.297861890723887
502,02,motor,99,207,2,7.805772812212432
503,02,motor,99,207,3,1.3876017106081546
504,02,motor,99,45,0,207.10393119898774
505,02,motor,99,45,1,18.263621784507173
506,02,motor,99,45,2,5.5526663519152315
507,02,motor,99,45,3,0.5051077458329865
508,02,motor,99,99,0,208.9656147870317
509,02,motor,99,99,1,16.833227029572598
510,02,motor,99,99,2,6.5298369227349635
511,02,motor,99,99,3,0.5815706597829757
512,02,v1,153,153,0,326.37327577431955
513,02,v1,153,153,1,15.08094714692255
514,02,v1,153,153,2,7.989376282620686
515,02,v1,153,153,3,0.14246132592518462
516,02,v1,153,207,0,312.2448980608337
517,02,v1,153,207,1,20.848830895751888
518,02,v1,153,207,2,8.563696280685463
519,02,v1,153,207,3,0.18813394753347132
520,02,v1,153,45,0,312.0577773702525
521,02,v1,153,45,1,15.128219842639249
522,02,v1,153,45,2,4.925329076522563
523,02,v1,153,45,3,0.36865750789657203
524,02,v1,153,99,0,305.8973336167342
525,02,v1,153,99,1,18.27080459860811
526,02,v1,153,99,2,6.145706713586437
527,02,v1,153,99,3,0.5871318853722406
528,02,v1,207,153,0,332.2291902015367
529,02,v1,207,153,1,17.76215585825462
530,02,v1,207,153,2,6.420925510263112
531,02,v1,207,153,3,0.3423734050203896
532,02,v1,207,207,0,312.24082545737235
533,02,v1,207,207,1,19.174883740998734
534,02,v1,207,207,2,11.342490032209426
535,02,v1,207,207,3,1.1410277067866703
536,02,v1,207,45,0,316.27500996874124
537,02,v1,207,45,1,19.475712761880914
538,02,v1,207,45,2,7.047221134337541
539,02,v1,207,45,3,1.1407381706274302
540,02,v1,207,99,0,314.56088636869487
541,02,v1,207,99,1,21.719628593557555
542,02,v1,207,99,2,7.567454196009168
543,02,v1,207,99,3,1.412376360721579
544,02,v1,45,153,0,324.5521294160414
545,02,v1,45,153,1,16.941919970235062
546,02,v1,45,153,2,4.376478978011472
547,02,v1,45,153,3,0.6993715394895255
548,02,v1,45,207,0,307.23844458177746
549,02,v1,45,207,1,18.624422836666184
550,02,v1,45,207,2,4.756779280028719
551,02,v1,45,207,3,0.3842507849242111
552,02,v1,45,45,0,306.45563418975553
553,02,v1,45,45,1,18.232634872288305
554,02,v1,45,45,2,4.191760411489519
555,02,v1,45,45,3,0.5686178066421124
556,02,v1,45,99,0,308.17639403117795
557,02,v1,45,99,1,18.282393432606305
558,02,v1,45,99,2,5.812285026278147
559,02,v1,45,99,3,0.7743393760096426
560,02,v1,99,153,0,332.0106271563293
561,02,v1,99,153,1,16.088616793079463
562,02,v1,99,153,2,5.73742113501703
563,02,v1,99,153,3,0.7731891277914005
564,02,v1,99,207,0,307.68292762660496
565,02,v1,99,207,1,17.000233277503234
566,02,v1,99,207,2,5.758046820747169
567,02,v1,99,207,3,0.7860533930246983
568,02,v1,99,45,0,314.8309431516528
569,02,v1,99,45,1,17.25721207028305
570,02,v1,99,45,2,4.0756252128735255
571,02,v1,99,45,3,0.06287741424869187
572,02,v1,99,99,0,313.42375091739973
573,02,v1,99,99,1,20.936411213659735
574,02,v1,99,99,2,6.697581056120193
575,02,v1,99,99,3,0.47798647065579214
576,02,sup_parietal,153,153,0,173.4777583335557
577,02,sup_parietal,153,153,1,14.293271186480464
578,02,sup_parietal,153,153,2,8.292673797309828
579,02,sup_parietal,153,153,3,0.31131804274158936
580,02,sup_parietal,153,207,0,186.15964951485114
581,02,sup_parietal,153,207,1,11.721393715125384
582,02,sup_parietal,153,207,2,5.325290032544912
583,02,sup_parietal,153,207,3,0.06798568831675025
584,02,sup_parietal,153,45,0,174.0493309453699
585,02,sup_parietal,153,45,1,14.75081241928245
586,02,sup_parietal,153,45,2,5.915282584137105
587,02,sup_parietal,153,45,3,0.4715601085883222
588,02,sup_parietal,153,99,0,174.84270424524465
589,02,sup_parietal,153,99,1,14.962634545599528
590,02,sup_parietal,153,99,2,6.717829339374704
591,02,sup_parietal,153,99,3,0.43824434009109414
592,02,sup_parietal,207,153,0,186.24788460813974
593,02,sup_parietal,207,153,1,20.481829091633088
594,02,sup_parietal,207,153,2,7.152294094886896
595,02,sup_parietal,207,153,3,0.017190234600451437
596,02,sup_parietal,207,207,0,190.00613195732936
597,02,sup_parietal,207,207,1,13.394000628970776
598,02,sup_parietal,207,207,2,6.761741775073693
599,02,sup_parietal,207,207,3,0.5029801523912288
600,02,sup_parietal,207,45,0,182.407310943082
