,Participants,Masks,Straight Direction,Rotate Direction,Correlation
446,05,sup_parietal,99,45,0.0019095422494826465
447,05,sup_parietal,99,99,-0.0005578097192368483
448,05,inf_parietal,153,153,0.01311869680518254
449,05,inf_parietal,153,207,-0.030929765796067234
450,05,inf_parietal,153,45,0.016841640656617803
451,05,inf_parietal,153,99,-0.031223171339853865
452,05,inf_parietal,207,153,0.022555351552092782
453,05,inf_parietal,207,207,-0.03705945866819653
454,05,inf_parietal,207,45,-0.008452587983253202
455,05,inf_parietal,207,99,0.0315009323116806
456,05,inf_parietal,45,153,-0.01729680073937375
457,05,inf_parietal,45,207,0.06755885605039844
458,05,inf_parietal,45,45,0.0027896976850303188
459,05,inf_parietal,45,99,-0.048489712481393776
460,05,inf_parietal,99,153,-0.010562067591835568
461,05,inf_parietal,99,207,-0.004325978497507491
462,05,inf_parietal,99,45,-0.0042137147283154
463,05,inf_parietal,99,99,0.03590377781963748
464,05,v5,153,153,-0.04823857417770713
465,05,v5,153,207,0.031362204062929104
466,05,v5,153,45,0.07195946055044806
467,05,v5,153,99,-0.02286773323896725
468,05,v5,207,153,0.0057634645384794445
469,05,v5,207,207,0.07299761984982481
470,05,v5,207,45,-0.08662078025979406
471,05,v5,207,99,0.021856757149300944
472,05,v5,45,153,0.08947357562694458
473,05,v5,45,207,-0.16007557585277152
474,05,v5,45,45,0.14537311335369574
475,05,v5,45,99,-0.07882464000562825
476,05,v5,99,153,-0.06798151676448494
477,05,v5,99,207,0.11010815005126036
478,05,v5,99,45,-0.08893749435134186
479,05,v5,99,99,0.043312315795175735
480,06,premotor,153,153,0.024132713046933978
481,06,premotor,153,207,-0.01607396940230297
482,06,premotor,153,45,-0.02136860812670044
483,06,premotor,153,99,-0.004211501640748474
484,06,premotor,207,153,-0.021391861115353038
485,06,premotor,207,207,0.006804323334998181
486,06,premotor,207,45,-0.008758221529999206
487,06,premotor,207,99,0.033183760753854145
488,06,premotor,45,153,-0.0190448692599232
489,06,premotor,45,207,0.03408066681646213
490,06,premotor,45,45,-0.000181367034840162
491,06,premotor,45,99,-0.014862880267898667
492,06,premotor,99,153,0.017926755274065613
493,06,premotor,99,207,-0.034283823943717553
494,06,premotor,99,45,0.026965399193073857
495,06,premotor,99,99,-0.009675063946972347
