,Participants,Masks,Straight Direction,Straight Direction_,Correlation
492,06,premotor,99,153,0.30252271181298057
493,06,premotor,99,207,0.303405641004307
494,06,premotor,99,45,0.26784843801458225
495,06,premotor,99,99,-0.8566091987886028
496,06,motor,153,153,-0.7952883470673537
497,06,motor,153,207,0.23333088140036434
498,06,motor,153,45,0.2631322549946775
499,06,motor,153,99,0.2712839465107234
500,06,motor,207,153,0.2132325048419383
501,06,motor,207,207,-0.8282205600110486
502,06,motor,207,45,0.3420823592749075
503,06,motor,207,99,0.2919765906493518
504,06,motor,45,153,0.24583767099200943
505,06,motor,45,207,0.309174736626156
506,06,motor,45,45,-0.8269197206034828
507,06,motor,45,99,0.24084245241616448
508,06,motor,99,153,0.31319262650374596
509,06,motor,99,207,0.3031230566810792
510,06,motor,99,45,0.20768660696583655
511,06,motor,99,99,-0.8509421457366464
512,06,v1,153,153,-0.7740071341502377
513,06,v1,153,207,0.3039217894381835
514,06,v1,153,45,0.18929292928598562
515,06,v1,153,99,0.2634404456873235
516,06,v1,207,153,0.28633238707579955
517,06,v1,207,207,-0.747217546260439
518,06,v1,207,45,0.2642662307411248
519,06,v1,207,99,0.18728195538086967
520,06,v1,45,153,0.1938133815412634
521,06,v1,45,207,0.24899618580458138
522,06,v1,45,45,-0.7313159915064975
523,06,v1,45,99,0.2918339134432902
524,06,v1,99,153,0.2462049256923064
525,06,v1,99,207,0.16989020368751676
526,06,v1,99,45,0.30880625612208046
527,06,v1,99,99,-0.7841614386993251
528,06,sup_parietal,153,153,-0.7589521646605571
529,06,sup_parietal,153,207,0.2196091577310813
530,06,sup_parietal,153,45,0.22993207910351426
531,06,sup_parietal,153,99,0.274215598537242
532,06,sup_parietal,207,153,0.23763047679611954
533,06,sup_parietal,207,207,-0.782047721257279
534,06,sup_parietal,207,45,0.27275641038599496
535,06,sup_parietal,207,99,0.32512740610508206
536,06,sup_parietal,45,153,0.18047439723385644
537,06,sup_parietal,45,207,0.28808029420952846
538,06,sup_parietal,45,45,-0.8069156266704978
539,06,sup_parietal,45,99,0.24002376483915216
540,06,sup_parietal,99,153,0.27552398957664076
541,06,sup_parietal,99,207,0.2657240943964376
542,06,sup_parietal,99,45,0.24578435281278202
543,06,sup_parietal,99,99,-0.8071352408329628
544,06,inf_parietal,153,153,-0.7875379503290898
545,06,inf_parietal,153,207,0.2108540240432824
546,06,inf_parietal,153,45,0.251525860762931
547,06,inf_parietal,153,99,0.3019040962764047
548,06,inf_parietal,207,153,0.19030207236703803
549,06,inf_parietal,207,207,-0.8550373765498197
550,06,inf_parietal,207,45,0.3686588377966856
551,06,inf_parietal,207,99,0.2954611185554807
552,06,inf_parietal,45,153,0.2318964461927836
553,06,inf_parietal,45,207,0.31189792777301756
554,06,inf_parietal,45,45,-0.8315697511627423
555,06,inf_parietal,45,99,0.25979986549865475
556,06,inf_parietal,99,153,0.27199053402797746
557,06,inf_parietal,99,207,0.30188826672656904
558,06,inf_parietal,99,45,0.24361504996595437
559,06,inf_parietal,99,99,-0.8405327537466134
560,06,v5,153,153,-0.6786009884079114
561,06,v5,153,207,0.2664148042217851
562,06,v5,153,45,0.2405403852629653
563,06,v5,153,99,0.21177108514929777
564,06,v5,207,153,0.18482347712283198
565,06,v5,207,207,-0.7302816825206896
566,06,v5,207,45,0.21938675233583083
567,06,v5,207,99,0.2585032010524413
568,06,v5,45,153,0.21056102938983584
569,06,v5,45,207,0.2724504313011027
570,06,v5,45,45,-0.7701066577834653
571,06,v5,45,99,0.29023932149446774
572,06,v5,99,153,0.30619412348027975
573,06,v5,99,207,0.20731234379079894
574,06,v5,99,45,0.2944404832859977
575,06,v5,99,99,-0.8194163209761525
576,07,premotor,153,153,-0.8476665704606611
577,07,premotor,153,207,0.3352524490510963
578,07,premotor,153,45,0.25827459648517537
579,07,premotor,153,99,0.2710939705666611
580,07,premotor,207,153,0.3414064166029908
581,07,premotor,207,207,-0.807474180935655
582,07,premotor,207,45,0.24513001719573513
583,07,premotor,207,99,0.24544203245532234
584,07,premotor,45,153,0.2585225212223846
585,07,premotor,45,207,0.23401920928234704
