,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
404,05,motor,207,153,0.007064103774854763
405,05,motor,207,207,0.013934431137694091
406,05,motor,207,45,-0.008248879502683737
407,05,motor,207,99,0.00873644139438581
408,05,motor,45,153,0.0028880928923206897
409,05,motor,45,207,0.005471031913496694
410,05,motor,45,45,0.005539969493979468
411,05,motor,45,99,-0.0031192871141867986
412,05,motor,99,153,0.030655131726203714
413,05,motor,99,207,-0.0014328363683603468
414,05,motor,99,45,0.008616020613943542
415,05,motor,99,99,0.03055728267649624
416,05,v1,153,153,0.09342358195985731
417,05,v1,153,207,0.10811839958796154
418,05,v1,153,45,0.0428560931470483
419,05,v1,153,99,0.07925718636966382
420,05,v1,207,153,0.0410586524605237
421,05,v1,207,207,0.0641525061115358
422,05,v1,207,45,0.04767498829629946
423,05,v1,207,99,0.03512635845438637
424,05,v1,45,153,0.11244100532299801
425,05,v1,45,207,0.11026460021319476
426,05,v1,45,45,0.1258212717007423
427,05,v1,45,99,0.06474347317483668
428,05,v1,99,153,0.10512992049365757
429,05,v1,99,207,0.09251328058356492
430,05,v1,99,45,0.0652977864942477
431,05,v1,99,99,0.10717493390442824
432,05,sup_parietal,153,153,0.12301108348020655
433,05,sup_parietal,153,207,0.1746440910781175
434,05,sup_parietal,153,45,0.22147326693635186
435,05,sup_parietal,153,99,0.11434236355186796
436,05,sup_parietal,207,153,0.13882090530641336
437,05,sup_parietal,207,207,0.17715394022737108
438,05,sup_parietal,207,45,0.13976549047919745
439,05,sup_parietal,207,99,0.08904116514773494
440,05,sup_parietal,45,153,0.16306804945658163
441,05,sup_parietal,45,207,0.17067634869664583
442,05,sup_parietal,45,45,0.15620504444255232
443,05,sup_parietal,45,99,0.14676333160072924
444,05,sup_parietal,99,153,0.15890729972600504
445,05,sup_parietal,99,207,0.14880446578687764
446,05,sup_parietal,99,45,0.16126168899061324
447,05,sup_parietal,99,99,0.15318112399665118
448,05,inf_parietal,153,153,0.0009535182078089181
449,05,inf_parietal,153,207,0.014732640525684888
450,05,inf_parietal,153,45,-0.0010262267888827366
451,05,inf_parietal,153,99,0.024740576617490614
452,05,inf_parietal,207,153,-0.004877806881034871
453,05,inf_parietal,207,207,0.0034254306874578807
454,05,inf_parietal,207,45,0.011009109616701665
455,05,inf_parietal,207,99,0.005671275770447616
456,05,inf_parietal,45,153,0.008815230888588065
457,05,inf_parietal,45,207,0.019692503990925495
458,05,inf_parietal,45,45,0.005763475161893333
459,05,inf_parietal,45,99,0.016150974173886463
460,05,inf_parietal,99,153,0.023700980826884047
461,05,inf_parietal,99,207,0.04215404180418971
462,05,inf_parietal,99,45,0.05173074521147711
463,05,inf_parietal,99,99,0.011455594824442927
464,05,v5,153,153,0.02005303832896779
465,05,v5,153,207,0.03110406407642276
466,05,v5,153,45,0.08590708757414729
467,05,v5,153,99,0.015357268243985712
468,05,v5,207,153,0.007442464157017169
469,05,v5,207,207,0.09121268186128219
470,05,v5,207,45,0.030388068938988967
471,05,v5,207,99,-0.03517999916811083
472,05,v5,45,153,0.009558554572536685
473,05,v5,45,207,0.057212917328596895
474,05,v5,45,45,0.15563844170008004
475,05,v5,45,99,0.004526508530346319
476,05,v5,99,153,0.0009695627229311368
477,05,v5,99,207,0.0048809816518486145
478,05,v5,99,45,0.062062249060856015
479,05,v5,99,99,-0.0001825083263240709
480,06,premotor,153,153,0.02459542301300531
481,06,premotor,153,207,0.026140309975721865
482,06,premotor,153,45,0.024428848012625036
483,06,premotor,153,99,0.02674448874713826
484,06,premotor,207,153,0.032224966261199986
485,06,premotor,207,207,0.038317135738902205
486,06,premotor,207,45,0.027493512610345387
487,06,premotor,207,99,0.04595921473853337
488,06,premotor,45,153,0.025649913257159082
489,06,premotor,45,207,0.029231630532125505
490,06,premotor,45,45,0.005330169139093204
491,06,premotor,45,99,0.03057566533141886
492,06,premotor,99,153,0.008472523140989124
493,06,premotor,99,207,0.0159098512739979
494,06,premotor,99,45,0.019239985849976982
495,06,premotor,99,99,0.03476810770590927
496,06,motor,153,153,0.033845244894166196
497,06,motor,153,207,0.001008231159844711
498,06,motor,153,45,0.01839248310581388
499,06,motor,153,99,-0.010027433619544054
500,06,motor,207,153,0.021285580841017816
501,06,motor,207,207,0.01916508790630185
502,06,motor,207,45,0.00876477118542288
503,06,motor,207,99,0.02970843379638283
504,06,motor,45,153,0.01670762286650541
505,06,motor,45,207,0.0284058798753717
506,06,motor,45,45,-0.0020535924149952985
507,06,motor,45,99,0.01190500466080053
508,06,motor,99,153,0.002124132653086469
509,06,motor,99,207,0.006683823328862457
510,06,motor,99,45,0.004218407368340739
511,06,motor,99,99,0.040349179130762414
512,06,v1,153,153,0.2325750042280835
513,06,v1,153,207,0.1186192140102325
514,06,v1,153,45,0.0890074940428598
515,06,v1,153,99,0.06339237194142362
516,06,v1,207,153,0.10942069703133993
517,06,v1,207,207,0.1737472723248001
518,06,v1,207,45,0.058052531183277765
519,06,v1,207,99,0.07130167160108208
520,06,v1,45,153,0.08997507167557563
521,06,v1,45,207,0.07901097202099679
522,06,v1,45,45,0.22354204993810387
523,06,v1,45,99,0.09051427509543841
524,06,v1,99,153,0.056622250598434586
525,06,v1,99,207,0.03164612839753558
526,06,v1,99,45,0.07350510080273441
527,06,v1,99,99,0.13352257959022934
528,06,sup_parietal,153,153,0.08676967558932189
529,06,sup_parietal,153,207,0.08535728024887257
530,06,sup_parietal,153,45,0.12485607845560022
531,06,sup_parietal,153,99,0.10807371217159262
532,06,sup_parietal,207,153,0.06475852778094937
533,06,sup_parietal,207,207,0.11480662944296906
534,06,sup_parietal,207,45,0.1044301591380708
535,06,sup_parietal,207,99,0.10857067622291124
536,06,sup_parietal,45,153,0.07803263032164448
537,06,sup_parietal,45,207,0.07069209424219146
538,06,sup_parietal,45,45,0.10288909003934821
539,06,sup_parietal,45,99,0.057381124450452896
540,06,sup_parietal,99,153,0.10119690581173853
541,06,sup_parietal,99,207,0.08793040811948015
542,06,sup_parietal,99,45,0.1424158936590814
543,06,sup_parietal,99,99,0.1133687905624296
544,06,inf_parietal,153,153,0.016510186365756064
545,06,inf_parietal,153,207,0.02109603786471791
546,06,inf_parietal,153,45,0.05571474105684371
547,06,inf_parietal,153,99,0.015293641672660814
