,Participants,Masks,Target Location Straight,Correlation
441,20,v1,207,-0.7894043261857091
442,20,v1,45,-0.8371383063466844
443,20,v1,99,-0.8210616178317176
444,20,sup_parietal,153,-0.8275156112629111
445,20,sup_parietal,207,-0.8174551690322153
446,20,sup_parietal,45,-0.8242725236203412
447,20,sup_parietal,99,-0.7747424293620679
448,20,inf_parietal,153,-0.8536590168003176
449,20,inf_parietal,207,-0.8479281775043345
450,20,inf_parietal,45,-0.8623985878493372
451,20,inf_parietal,99,-0.860027458915574
452,20,v5,153,-0.8285143179478349
453,20,v5,207,-0.7466566447124512
454,20,v5,45,-0.7386711489742779
455,20,v5,99,-0.8092871864322825
456,22,premotor,153,-0.8881648922134208
457,22,premotor,207,-0.8879235090964834
458,22,premotor,45,-0.8764523087840217
459,22,premotor,99,-0.8886007392257813
460,22,motor,153,-0.8646275757231868
461,22,motor,207,-0.868694280238947
462,22,motor,45,-0.8540367127488115
463,22,motor,99,-0.8770412533574319
464,22,v1,153,-0.8207238221712894
465,22,v1,207,-0.8175641639377572
466,22,v1,45,-0.8084600659337315
467,22,v1,99,-0.7843685024507618
468,22,sup_parietal,153,-0.8626972194872272
469,22,sup_parietal,207,-0.866313459235822
470,22,sup_parietal,45,-0.8601459503190018
471,22,sup_parietal,99,-0.838660864281563
472,22,inf_parietal,153,-0.8617962589970174
473,22,inf_parietal,207,-0.8513863454252852
474,22,inf_parietal,45,-0.862932606322973
475,22,inf_parietal,99,-0.870343098207725
476,22,v5,153,-0.7441315441185569
477,22,v5,207,-0.7837507249327935
478,22,v5,45,-0.8092972826310458
479,22,v5,99,-0.7976572062942708
480,23,premotor,153,-0.8648263185310393
481,23,premotor,207,-0.8656316401002704
482,23,premotor,45,-0.883323191435446
483,23,premotor,99,-0.8554667997738927
484,23,motor,153,-0.8571169282007449
485,23,motor,207,-0.8525060029616843
486,23,motor,45,-0.8509277903670267
487,23,motor,99,-0.8474163264374031
488,23,v1,153,-0.7804927591577604
489,23,v1,207,-0.7468059381433678
490,23,v1,45,-0.7836199086727598
491,23,v1,99,-0.7520267575265256
492,23,sup_parietal,153,-0.7956903299738404
493,23,sup_parietal,207,-0.8071876194602337
494,23,sup_parietal,45,-0.7860220039251327
495,23,sup_parietal,99,-0.770250962608231
496,23,inf_parietal,153,-0.8432724666046194
497,23,inf_parietal,207,-0.8571676576367351
498,23,inf_parietal,45,-0.8527236593040473
499,23,inf_parietal,99,-0.8461280560475087
500,23,v5,153,-0.8334570717318941
501,23,v5,207,-0.8172301602333427
502,23,v5,45,-0.8126790835641442
503,23,v5,99,-0.7770268221543353
504,24,premotor,153,-0.8879272921905059
505,24,premotor,207,-0.8867070093967717
506,24,premotor,45,-0.875386231511696
507,24,premotor,99,-0.8857977217575606
508,24,motor,153,-0.8816083105113806
509,24,motor,207,-0.8802868198880485
510,24,motor,45,-0.8550398186313782
511,24,motor,99,-0.8651217698440146
512,24,v1,153,-0.8082417296351634
513,24,v1,207,-0.7965885791869006
514,24,v1,45,-0.8145670044984661
515,24,v1,99,-0.8089692700887459
516,24,sup_parietal,153,-0.8017002965269805
517,24,sup_parietal,207,-0.8050270249806452
518,24,sup_parietal,45,-0.8028457772305944
519,24,sup_parietal,99,-0.8377104564860578
520,24,inf_parietal,153,-0.8623230519757199
521,24,inf_parietal,207,-0.8691429783615311
522,24,inf_parietal,45,-0.8616534808691271
523,24,inf_parietal,99,-0.8321927324806195
524,24,v5,153,-0.8701128349183838
525,24,v5,207,-0.8063558104491998
526,24,v5,45,-0.7991885769576804
527,24,v5,99,-0.8668806244339071
528,25,premotor,153,-0.8606610545091711
529,25,premotor,207,-0.8545089881800918
530,25,premotor,45,-0.8691277640869439
531,25,premotor,99,-0.8518575185400621
532,25,motor,153,-0.8609195825635827
533,25,motor,207,-0.86031473044174
534,25,motor,45,-0.8361845315590312
535,25,motor,99,-0.8653501122228857
536,25,v1,153,-0.8346046427300712
537,25,v1,207,-0.8111819149888041
538,25,v1,45,-0.7849637817206223
539,25,v1,99,-0.8096748469554872
540,25,sup_parietal,153,-0.7980929506027779
541,25,sup_parietal,207,-0.8128058926958737
542,25,sup_parietal,45,-0.802631330798257
543,25,sup_parietal,99,-0.8260884380781134
544,25,inf_parietal,153,-0.8488129461420929
545,25,inf_parietal,207,-0.8477419634869886
546,25,inf_parietal,45,-0.8406247082474843
547,25,inf_parietal,99,-0.8406701238818427
548,25,v5,153,-0.7926120861709982
549,25,v5,207,-0.7981176928365415
550,25,v5,45,-0.752791188593896
551,25,v5,99,-0.7791973661640983
552,26,premotor,153,-0.872483265629107
553,26,premotor,207,-0.8967031581619964
554,26,premotor,45,-0.8652649012804405
555,26,premotor,99,-0.8848622812058715
556,26,motor,153,-0.8582896605140576
557,26,motor,207,-0.8906965809346938
558,26,motor,45,-0.8724428977935191
559,26,motor,99,-0.8490159681920719
560,26,v1,153,-0.8774112029087312
561,26,v1,207,-0.8849116632065935
562,26,v1,45,-0.8796418647470842
563,26,v1,99,-0.8553691114013116
564,26,sup_parietal,153,-0.8221974508392602
565,26,sup_parietal,207,-0.8421820872402683
566,26,sup_parietal,45,-0.8113271134116286
567,26,sup_parietal,99,-0.8515771152168597
568,26,inf_parietal,153,-0.8585365379967482
569,26,inf_parietal,207,-0.8794378492238519
570,26,inf_parietal,45,-0.8393502587016821
571,26,inf_parietal,99,-0.8445259882724685
572,26,v5,153,-0.7765972326778359
573,26,v5,207,-0.8030158419302543
574,26,v5,45,-0.8212139973385943
575,26,v5,99,-0.8179586169372464
