,Participants,Masks,Rotate Direction,Straight Direction,Correlation
282,03,v5,45,45,-0.07502596523928579
283,03,v5,45,99,0.1276195963419105
284,03,v5,99,153,-0.0023224233890081734
285,03,v5,99,207,0.018728838530424678
286,03,v5,99,45,-0.01790569973931383
287,03,v5,99,99,-0.08745489429885614
288,04,premotor,153,153,0.016517473905332362
289,04,premotor,153,207,-0.0018877554431414208
290,04,premotor,153,45,0.018201842939638495
291,04,premotor,153,99,-0.035727543916178994
292,04,premotor,207,153,-0.029985571958558527
293,04,premotor,207,207,-0.0046739796225026865
294,04,premotor,207,45,0.035174135399525075
295,04,premotor,207,99,0.003942726906194961
296,04,premotor,45,153,-0.005035620190423332
297,04,premotor,45,207,-0.010980089631366364
298,04,premotor,45,45,-0.037933739572999677
299,04,premotor,45,99,0.05537707149914254
300,04,premotor,99,153,0.033197143700764306
301,04,premotor,99,207,0.00808243956965177
302,04,premotor,99,45,-0.013641107221171987
303,04,premotor,99,99,-0.030846725769853065
304,04,motor,153,153,-0.047067429767780986
305,04,motor,153,207,0.02098046063757492
306,04,motor,153,45,-0.016163624731454003
307,04,motor,153,99,0.06479264691283733
308,04,motor,207,153,0.013837602163853477
309,04,motor,207,207,0.05739273165361507
310,04,motor,207,45,-0.006126479774828539
311,04,motor,207,99,-0.07846610992265413
312,04,motor,45,153,-0.03063234726202583
313,04,motor,45,207,0.026751692260184715
314,04,motor,45,45,-0.010673401819389916
315,04,motor,45,99,0.009327495993526752
316,04,motor,99,153,0.05914999613601652
317,04,motor,99,207,-0.08515523286839372
318,04,motor,99,45,0.03762466939965837
319,04,motor,99,99,-0.020872681271665423
320,04,v1,153,153,-0.0789972830069477
321,04,v1,153,207,0.04837473055912822
322,04,v1,153,45,0.021750740428568057
323,04,v1,153,99,0.005962007810709017
324,04,v1,207,153,-0.001293545793627733
325,04,v1,207,207,-0.1363023554628593
326,04,v1,207,45,0.12530757342012827
327,04,v1,207,99,0.049753054062667515
328,04,v1,45,153,0.05162975923662895
329,04,v1,45,207,0.01931520170528158
330,04,v1,45,45,-0.12189779007433549
331,04,v1,45,99,0.029238074085796442
332,04,v1,99,153,0.030063319166375488
333,04,v1,99,207,0.06299191564284978
334,04,v1,99,45,-0.026231370505227898
335,04,v1,99,99,-0.0780414398067853
336,04,sup_parietal,153,153,0.04868680888661936
337,04,sup_parietal,153,207,0.017156849743760017
338,04,sup_parietal,153,45,-0.051967118687844996
339,04,sup_parietal,153,99,0.000755597895713396
340,04,sup_parietal,207,153,-0.01643324773188278
341,04,sup_parietal,207,207,-0.04024925661972509
342,04,sup_parietal,207,45,0.0850053615119509
343,04,sup_parietal,207,99,0.012234360312887412
344,04,sup_parietal,45,153,0.060417271774954394
345,04,sup_parietal,45,207,0.03659579358803437
346,04,sup_parietal,45,45,-0.03361366227668807
347,04,sup_parietal,45,99,-0.07331386960825717
348,04,sup_parietal,99,153,-0.08230282183039336
349,04,sup_parietal,99,207,0.02133753970708446
350,04,sup_parietal,99,45,-0.016120744036293697
351,04,sup_parietal,99,99,0.04504612758703483
352,04,inf_parietal,153,153,0.13850572597812857
353,04,inf_parietal,153,207,0.03628513078945181
354,04,inf_parietal,153,45,-0.061051164917288306
355,04,inf_parietal,153,99,-0.10432290394003967
356,04,inf_parietal,207,153,-0.04869084001170981
357,04,inf_parietal,207,207,0.015393398615651057
358,04,inf_parietal,207,45,0.07940628714196282
359,04,inf_parietal,207,99,-0.037005603870830836
360,04,inf_parietal,45,153,0.0005546470432780861
361,04,inf_parietal,45,207,-0.10449791260892144
362,04,inf_parietal,45,45,0.02659295408438341
363,04,inf_parietal,45,99,0.06773610986404667
364,04,inf_parietal,99,153,-0.07576535465169643
365,04,inf_parietal,99,207,0.05009308576324488
366,04,inf_parietal,99,45,-0.037562612368312584
367,04,inf_parietal,99,99,0.04991651651459601
368,04,v5,153,153,0.0016835227315701723
369,04,v5,153,207,0.17214914974661594
370,04,v5,153,45,-0.20880031644694866
371,04,v5,153,99,0.0463342059196359
372,04,v5,207,153,-0.06525631875615634
373,04,v5,207,207,0.05290291652472834
374,04,v5,207,45,0.09744630446668
375,04,v5,207,99,-0.06964565279821049
