,Participants,Masks,Rotate Direction,Rotate Direction_,Correlation
547,06,inf_parietal,153,99,0.2790545229738716
548,06,inf_parietal,207,153,0.2847969623628993
549,06,inf_parietal,207,207,-0.8936910207149891
550,06,inf_parietal,207,45,0.27691034598550346
551,06,inf_parietal,207,99,0.252764323534175
552,06,inf_parietal,45,153,0.26462477992634403
553,06,inf_parietal,45,207,0.2583839476669123
554,06,inf_parietal,45,45,-0.8146145306404386
555,06,inf_parietal,45,99,0.3679437445082786
556,06,inf_parietal,99,153,0.2936005331960596
557,06,inf_parietal,99,207,0.2848528081832618
558,06,inf_parietal,99,45,0.29739379144381284
559,06,inf_parietal,99,99,-0.8977792986761344
560,06,v5,153,153,-0.8567814759370007
561,06,v5,153,207,0.29045620301580494
562,06,v5,153,45,0.2509292855188835
563,06,v5,153,99,0.276172037861743
564,06,v5,207,153,0.350000632797821
565,06,v5,207,207,-0.875659585870623
566,06,v5,207,45,0.22080612258921617
567,06,v5,207,99,0.2004498695986552
568,06,v5,45,153,0.23033289983177505
569,06,v5,45,207,0.2570615498731078
570,06,v5,45,45,-0.8534967205136132
571,06,v5,45,99,0.4005735777653765
572,06,v5,99,153,0.2151440713652833
573,06,v5,99,207,0.25061949871744216
574,06,v5,99,45,0.3536213782535253
575,06,v5,99,99,-0.8611142102513751
576,07,premotor,153,153,-0.8726826939541783
577,07,premotor,153,207,0.32506268296685586
578,07,premotor,153,45,0.2517144712913431
579,07,premotor,153,99,0.2662739184614055
580,07,premotor,207,153,0.3254299392834653
581,07,premotor,207,207,-0.876457901777382
582,07,premotor,207,45,0.330739604227816
583,07,premotor,207,99,0.23519745841191383
584,07,premotor,45,153,0.20487379915187492
585,07,premotor,45,207,0.32623098778796916
586,07,premotor,45,45,-0.8802649025235423
587,07,premotor,45,99,0.33684191525315343
588,07,premotor,99,153,0.31908196113640286
589,07,premotor,99,207,0.2400943351244371
590,07,premotor,99,45,0.31836966589918
591,07,premotor,99,99,-0.8920069080790356
592,07,motor,153,153,-0.8627532902697844
593,07,motor,153,207,0.2745179552509224
594,07,motor,153,45,0.31338603898813727
595,07,motor,153,99,0.2521739950137692
596,07,motor,207,153,0.31009630729053367
597,07,motor,207,207,-0.8429070480929666
598,07,motor,207,45,0.27993259230643497
599,07,motor,207,99,0.2685228238615312
600,07,motor,45,153,0.2572946694245012
601,07,motor,45,207,0.2924804394947725
602,07,motor,45,45,-0.8716735813946359
603,07,motor,45,99,0.29259085946188984
604,07,motor,99,153,0.29592183634681507
605,07,motor,99,207,0.23253405960220114
606,07,motor,99,45,0.3331676502837111
607,07,motor,99,99,-0.8773151432688548
608,07,v1,153,153,-0.8405281243532332
609,07,v1,153,207,0.2744772755948839
610,07,v1,153,45,0.26229865169046696
611,07,v1,153,99,0.2866808238698658
612,07,v1,207,153,0.2714834654167788
613,07,v1,207,207,-0.8277704508108299
614,07,v1,207,45,0.3024975156473644
615,07,v1,207,99,0.2004376245745359
616,07,v1,45,153,0.26785603985628814
617,07,v1,45,207,0.2785080345830579
618,07,v1,45,45,-0.8239192309345416
619,07,v1,45,99,0.29994322409350715
620,07,v1,99,153,0.3156582470991277
621,07,v1,99,207,0.22623950472948756
622,07,v1,99,45,0.2713122521318287
623,07,v1,99,99,-0.8338363805820425
624,07,sup_parietal,153,153,-0.8057711397782578
625,07,sup_parietal,153,207,0.26885451737382116
626,07,sup_parietal,153,45,0.24750026109240789
627,07,sup_parietal,153,99,0.22049467294589928
628,07,sup_parietal,207,153,0.31907806915332126
629,07,sup_parietal,207,207,-0.8154556203526134
630,07,sup_parietal,207,45,0.2571630053115955
631,07,sup_parietal,207,99,0.24974717626500598
632,07,sup_parietal,45,153,0.2531999587028851
633,07,sup_parietal,45,207,0.2551129351382333
634,07,sup_parietal,45,45,-0.7806235539908608
635,07,sup_parietal,45,99,0.29376992336552543
636,07,sup_parietal,99,153,0.2522669096998871
637,07,sup_parietal,99,207,0.26821122480800097
638,07,sup_parietal,99,45,0.22264405070805188
639,07,sup_parietal,99,99,-0.8370496920981259
